Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Total Traded Quantity,Turnover,Average Price,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
21-Mar-2017,299,600,648.9,558.3,647.8,641.6,85728445,52052585777.75,607.18,997334,25455640,29.69
22-Mar-2017,641.6,641.55,657.45,625.1,636.95,638.55,15817671,10187130156,644.03,230754,1980297,12.52
23-Mar-2017,638.55,637.9,648,628.15,635,634.85,4690121,2998101857.65,639.24,82509,918026,19.57
24-Mar-2017,634.85,635.45,640.45,612.6,615.25,616.9,4865013,3021774074.05,621.12,91530,1091968,22.45
27-Mar-2017,616.9,615,623,602.35,617.05,614.4,3535098,2167347457.05,613.09,63894,809694,22.9
28-Mar-2017,614.4,617.2,633.4,615.1,626,628.8,2981122,1868463026.55,626.77,57419,595667,19.98
29-Mar-2017,628.8,632.9,637,622.4,624,628.25,2407007,1520603298.9,631.74,46378,853427,35.46
30-Mar-2017,628.25,624.2,635,622.2,634.95,631.85,1324054,834009944.85,629.89,22366,407697,30.79
31-Mar-2017,631.85,634.4,652.3,630,637.3,637.85,2075789,1328449570.3,639.97,36350,525707,25.33
03-Apr-2017,637.85,638,643,633,635,634.25,992545,632157341.95,636.91,23829,431552,43.48
05-Apr-2017,634.25,636,645.1,628.3,633,632.15,820437,521346547.75,635.45,18085,288605,35.18
06-Apr-2017,632.15,632,668.4,630.2,663.9,664.4,5166823,3381465185.6,654.46,75897,1084664,20.99
07-Apr-2017,664.4,665.9,761.35,664,758.9,751.2,16504569,11928230146.8,722.72,249684,1925387,11.67
10-Apr-2017,751.2,769,806.9,759.05,777.7,774.1,14333464,11310151508,789.07,226380,1663038,11.6
11-Apr-2017,774.1,778.9,791.1,768.35,778,778.55,4283589,3341726531.4,780.12,77233,536186,12.52
12-Apr-2017,778.55,779,782.9,755,758,762.2,2435513,1866278482.95,766.28,45432,364931,14.98
13-Apr-2017,762.2,756.9,806.9,756,780.5,783.25,6262741,4938294680.85,788.52,114670,769821,12.29
17-Apr-2017,783.25,785.9,789.7,766.6,773.75,774.05,2786771,2157980681.3,774.37,64792,1534411,55.06
18-Apr-2017,774.05,774.9,774.9,725.1,732,730.15,4750180,3516262613.65,740.24,128369,2535888,53.39
19-Apr-2017,730.15,735,752,722,736,732.8,2052184,1511800952.8,736.68,46838,529283,25.79
20-Apr-2017,732.8,740,765,732.4,753.45,756.3,3218061,2419434894.3,751.83,63725,826302,25.68
21-Apr-2017,756.3,760,765,739,742.5,743.2,1237439,929414400,751.08,27577,386299,31.22
24-Apr-2017,743.2,748,748,724.15,725.2,726.3,1249610,916223708.8,733.21,24345,575519,46.06
25-Apr-2017,726.3,731,739.9,721.15,735,734.8,1519949,1113762730.75,732.76,29142,580108,38.17
26-Apr-2017,734.8,736.45,753.95,731,746,747.9,2080565,1554758171.65,747.28,49463,669426,32.18
27-Apr-2017,747.9,749,749.7,736.1,739.25,740.1,614735,455467576.7,740.92,12951,313189,50.95
28-Apr-2017,740.1,743.85,747,735,736.15,736.5,516172,381539352.95,739.17,10952,229610,44.48
02-May-2017,736.5,737.25,762.9,737.25,749.65,752.3,1808851,1357433667.05,750.44,40605,781262,43.19
03-May-2017,752.3,753,762,746.8,758.5,756.85,1083002,817386525.95,754.74,24359,517897,47.82
04-May-2017,756.85,762.2,793,762.2,772,773.25,2607954,2035030960.5,780.32,43004,538434,20.65
05-May-2017,773.25,778,814.4,766.1,806.55,808.9,4332891,3449418086.7,796.1,72556,1067044,24.63
08-May-2017,808.9,823.65,824.5,770.2,780.05,780.15,3972924,3132069040.4,788.35,72004,962974,24.24
09-May-2017,780.15,782.9,793,775.6,780,780.05,1199297,939161209.25,783.09,32723,345615,28.82
10-May-2017,780.05,781.9,795,780,789,790.85,1251054,985979580.95,788.12,22605,325958,26.05
11-May-2017,790.85,789.7,790.5,756,763,761.8,1038372,803476842.4,773.79,25110,485856,46.79
12-May-2017,761.8,763.9,768,736.7,752.8,751.8,1137225,858228267.75,754.67,25970,412172,36.24
15-May-2017,751.8,755.5,761.45,744,750.2,752.15,617269,465020005.7,753.35,15677,193827,31.4
16-May-2017,752.15,752.1,757.9,741,751.4,750.4,600525,450642768.55,750.41,13796,182949,30.46
17-May-2017,750.4,751.7,756.9,742.9,743.65,744.9,458274,343167460.9,748.83,11883,129806,28.32
18-May-2017,744.9,739.95,748,724.5,730,727.45,698857,515405342.75,737.5,16108,293978,42.07
19-May-2017,727.45,730,738.65,713.65,726.95,722.9,686573,497793941.2,725.04,21237,253482,36.92
22-May-2017,722.9,729.4,734.5,720.1,721,721.55,361363,261708917,724.23,10860,162397,44.94
23-May-2017,721.55,724.95,725,691.55,708,708.4,1362902,964448901.7,707.64,27324,780365,57.26
24-May-2017,708.4,710.4,722.9,701,715.05,714.2,748251,528390939.8,706.17,18942,328471,43.9
25-May-2017,714.2,720,720,705.5,712.55,712.4,508214,362326903.25,712.94,15610,227223,44.71
26-May-2017,712.4,714,732,709.45,713,714.9,790476,568285000.1,718.91,22517,367123,46.44
29-May-2017,714.9,715,719.75,710,715,714.8,307830,219870021,714.26,8653,115743,37.6
30-May-2017,714.8,715,742.85,710,729.1,727.85,912185,666319877.65,730.47,21565,217550,23.85
31-May-2017,727.85,731.8,750.8,726.4,749,745.15,883930,657053745.5,743.33,20355,338701,38.32
01-Jun-2017,745.15,749.9,782,745,781,776.85,1557053,1197917171.65,769.35,40650,466813,29.98
02-Jun-2017,776.85,783.85,794.6,776.85,779.5,779.65,738963,580298670.7,785.29,16363,251937,34.09
05-Jun-2017,779.65,782.7,811,775.3,793,789.75,1662267,1321500271.8,795,34986,516069,31.05
06-Jun-2017,789.75,792.8,800.5,772.55,776,775.35,761302,596490915.45,783.51,20907,236797,31.1
07-Jun-2017,775.35,777,784.5,771.25,775,774.3,335268,260372546.95,776.61,8123,93776,27.97
08-Jun-2017,774.3,776.95,799.8,768.05,788.1,790.25,1170440,923793671.6,789.27,25184,403406,34.47
09-Jun-2017,790.25,789.95,811,783.15,802,802.35,1485266,1190866296.65,801.79,32383,314588,21.18
12-Jun-2017,802.35,804,823,797,806,804.1,1211793,983761163.25,811.82,32734,284170,23.45
13-Jun-2017,804.1,807.7,815,795.1,799.8,798.65,679152,547101252.05,805.57,21688,214628,31.6
14-Jun-2017,798.65,802,807,792,799.8,798.55,406225,324697048.55,799.3,10423,100773,24.81
15-Jun-2017,798.55,800,807,793,799.4,797.95,376579,301179134.2,799.78,9096,97865,25.99
16-Jun-2017,797.95,802.4,812,796.95,801.5,800.1,579782,465885828.35,803.55,13166,123705,21.34
19-Jun-2017,800.1,804.8,806.25,791,796,796.4,302416,241941541.15,800.03,7976,94775,31.34
20-Jun-2017,796.4,796,836.7,796,824.5,822.05,1759720,1439326472.55,817.93,24384,638494,36.28
21-Jun-2017,822.05,825.8,838.8,813.3,815.4,817.8,1466750,1211055373.8,825.67,29162,346375,23.62
22-Jun-2017,817.8,819.95,824,800,802.5,803.9,674073,548920160.15,814.33,14370,177838,26.38
23-Jun-2017,803.9,805.8,809.25,789.8,803.9,801.6,799811,638725014.4,798.59,18710,251147,31.4
27-Jun-2017,801.6,803.9,807,794.7,804,804.6,472470,378554094.6,801.22,11958,175269,37.1
28-Jun-2017,804.6,802.4,822.9,797,820.65,818.05,842867,684763672.3,812.42,23696,270361,32.08
29-Jun-2017,818.05,825,826.45,813,815,815.5,443572,363431826.25,819.33,14775,129172,29.12
30-Jun-2017,815.5,810.9,820,805,809.5,815.1,365653,297411425.85,813.37,16340,122428,33.48
03-Jul-2017,815.1,811.6,847.9,808,839.7,840.05,1577531,1318622672.2,835.88,31850,644343,40.85
04-Jul-2017,840.05,843,843,829,836.25,836.2,590080,493060612.4,835.58,28432,212252,35.97
05-Jul-2017,836.2,834.9,854.95,830.85,845,846.05,795100,673225298.4,846.72,22675,176573,22.21
06-Jul-2017,846.05,847.55,909,847.55,879.1,880.3,3412326,3015900527.7,883.83,73764,605134,17.73
07-Jul-2017,880.3,882.8,910,882,895,895.45,2129887,1912975162.25,898.16,57897,446084,20.94
10-Jul-2017,895.45,940.2,944,900,942.2,934.6,646394,599822541.9,927.95,13896,197695,30.58
11-Jul-2017,934.6,946,954.9,907.5,911,913.95,1185183,1106300454.65,933.44,33392,391465,33.03
12-Jul-2017,913.95,914,934.4,905,909.15,910.3,1206562,1108694603.8,918.89,29715,330186,27.37
13-Jul-2017,910.3,915,933.7,910.25,911.5,915.15,1139296,1049888181.2,921.52,33192,274379,24.08
14-Jul-2017,915.15,920,921.9,872.5,890,891.35,1325017,1187117974.45,895.93,37765,427404,32.26
17-Jul-2017,891.35,894.9,917.7,886.05,913.5,911.7,951306,861274475.65,905.36,25320,235903,24.8
18-Jul-2017,911.7,908.9,920,901.05,913,910.65,509382,464339643.2,911.57,20787,111282,21.85
19-Jul-2017,910.65,914.2,924.95,907.45,911.1,911.7,524342,481198115.3,917.72,16594,180495,34.42
20-Jul-2017,911.7,914.8,918.8,905.1,908,909.2,504126,459301894.8,911.09,17108,165473,32.82
21-Jul-2017,909.2,912.5,921,907,914,914.75,648124,593121038.5,915.14,12822,318649,49.16
24-Jul-2017,914.75,937,964,911,912.95,916.55,2518684,2357232517.85,935.9,64880,719032,28.55
25-Jul-2017,916.55,917.5,933.3,905.65,929.25,925.65,1018767,936995158.45,919.73,28176,375825,36.89
26-Jul-2017,925.65,930,932.9,893,906,909.6,1512281,1374712993.8,909.03,41027,698587,46.19
27-Jul-2017,909.6,907.9,915,892.4,894.5,896.9,534158,482696437,903.66,17032,159092,29.78
28-Jul-2017,896.9,894,908,888.1,898,898.55,501864,451582226.1,899.81,13095,123729,24.65
31-Jul-2017,898.55,904,925.5,897,920.4,919.7,925153,845518255.9,913.92,29892,289846,31.33
01-Aug-2017,919.7,921,930,913.1,914,916.05,388020,357015376.2,920.1,11740,117614,30.31
02-Aug-2017,916.05,914.5,919,902.25,903.75,906.8,230945,210325504.9,910.72,7831,69553,30.12
03-Aug-2017,906.8,905.95,909.9,895,897.05,898.1,242241,218708612.7,902.86,9323,69078,28.52
04-Aug-2017,898.1,898.9,922.4,894.25,920,911.35,649179,589131284.7,907.5,15775,380885,58.67
07-Aug-2017,911.35,921,933,915,922.1,923.8,418558,387056449.8,924.74,10396,149886,35.81
08-Aug-2017,923.8,923,927.65,900,901,902.3,372966,339198786.95,909.46,12453,156977,42.09
09-Aug-2017,902.3,901,910.9,882.4,888,889.25,358608,321375549.6,896.18,13518,133783,37.31
10-Aug-2017,889.25,888.8,894.85,871.1,885,880.8,359649,317520607.5,882.86,13761,149943,41.69
11-Aug-2017,880.8,867.9,903.4,860,890,890.1,495041,436242531.45,881.23,18255,194402,39.27
14-Aug-2017,890.1,899.85,911.55,892,899.2,902.45,262198,236651896.1,902.57,11483,110565,42.17
16-Aug-2017,902.45,903.9,917.45,903,905.5,907.8,241073,219197290.6,909.26,9280,81077,33.63
17-Aug-2017,907.8,909.95,941.8,906.3,922,920.8,674395,624544675.95,926.08,24311,160991,23.87
18-Aug-2017,920.8,917.2,931.8,908,924,926.25,401717,369279689,919.25,13098,96089,23.92
21-Aug-2017,926.25,929.85,948.9,923.15,930,927.1,693305,649801255.85,937.25,31131,204508,29.5
22-Aug-2017,927.1,937,968,932,968,958.05,1103036,1048212473.9,950.3,31967,297978,27.01
23-Aug-2017,958.05,977,999,967.55,985,989.5,2107260,2082828579.6,988.41,49493,359883,17.08
24-Aug-2017,989.5,990.8,1019,986,992.3,994.6,1441084,1446155907.1,1003.52,54869,403683,28.01
28-Aug-2017,994.6,999.5,1057,990.2,1052.9,1046.15,1489836,1529057954.7,1026.33,45263,343877,23.08
29-Aug-2017,1046.15,1049,1068.2,1026,1036.65,1032.85,1703113,1787791938.55,1049.72,61206,469170,27.55
30-Aug-2017,1032.85,1044.9,1059,1041.5,1050,1050.9,599048,629974820.1,1051.63,31851,203219,33.92
31-Aug-2017,1050.9,1055.8,1055.8,1032,1042.5,1039.8,495126,514848571.8,1039.83,40428,198401,40.07
01-Sep-2017,1039.8,1045.8,1054,1037,1044,1048.4,338544,353764081.7,1044.96,17333,100737,29.76
04-Sep-2017,1048.4,1045,1049.35,1007.4,1025,1020.65,498521,510623673.25,1024.28,28926,224669,45.07
05-Sep-2017,1020.65,1026,1094.7,1026,1074.95,1077.7,1667985,1781978416,1068.34,42866,543783,32.6
06-Sep-2017,1077.7,1067,1103,1061.05,1064,1066.6,1476806,1593056056.25,1078.72,52908,442364,29.95
07-Sep-2017,1066.6,1071,1090,1070,1074.1,1076.2,510790,551469724.15,1079.64,22589,158625,31.05
08-Sep-2017,1076.2,1081.6,1088,1055,1070,1070.85,503514,540247134.25,1072.95,24412,173265,34.41
11-Sep-2017,1070.85,1079.95,1099,1060.25,1089.7,1088.8,698741,759157919.8,1086.47,27885,197421,28.25
12-Sep-2017,1088.8,1096,1099,1085,1089.3,1088.45,379312,413731877.15,1090.74,22263,144422,38.07
13-Sep-2017,1088.45,1095,1113.3,1085,1091.5,1091.5,677114,744556557.9,1099.6,22779,167781,24.78
14-Sep-2017,1091.5,1093,1104.9,1080.4,1090,1089.75,360997,394308704.75,1092.28,16674,101815,28.2
15-Sep-2017,1089.75,1103.35,1119.8,1080.1,1084,1087.75,1564001,1711898180.05,1094.56,44292,938195,59.99
18-Sep-2017,1087.75,1092.5,1099,1086.9,1089.55,1089.5,360118,393333683,1092.24,19154,160608,44.6
19-Sep-2017,1089.5,1089.55,1094.95,1073.05,1076.1,1077.55,297636,321770969,1081.09,17056,134323,45.13
20-Sep-2017,1077.55,1080.5,1094,1070.4,1084.5,1084.75,342872,371093473.35,1082.31,16762,116594,34.01
21-Sep-2017,1084.75,1085,1088,1065,1068.5,1069.05,281126,302312341.3,1075.36,23393,125007,44.47
22-Sep-2017,1069.05,1067.95,1067.95,1028.8,1039.2,1039.15,367612,385180716.15,1047.79,19095,153483,41.75
25-Sep-2017,1039.15,1042,1047.6,982.05,1037.8,1029,541800,547432798.25,1010.4,25724,158857,29.32
26-Sep-2017,1029,1060.5,1218,1054.25,1107,1116.05,6738985,7720164646.35,1145.6,188279,962509,14.28
27-Sep-2017,1116.05,1116,1153.6,1069.05,1075.15,1076.75,2905722,3247829146.55,1117.74,97146,539492,18.57
28-Sep-2017,1076.75,1077.75,1087,1021.3,1037.85,1043.95,1545452,1626949724.55,1052.73,65371,495818,32.08
29-Sep-2017,1043.95,1049.25,1094.8,1048.9,1086,1078.45,1633060,1759397488.9,1077.36,64368,428122,26.22
03-Oct-2017,1078.45,1095.45,1109.65,1078.8,1102,1100.95,903689,988473992.4,1093.82,26918,195882,21.68
04-Oct-2017,1100.95,1107.5,1128.7,1087.85,1098,1099.35,1449647,1602375414.75,1105.36,36662,303899,20.96
05-Oct-2017,1099.35,1105,1118,1092.35,1108,1104,1044277,1154416222.9,1105.47,29566,301228,28.85
06-Oct-2017,1104,1110,1120,1100,1106,1105.25,635948,706387346.65,1110.76,31851,314136,49.4
09-Oct-2017,1105.25,1108.5,1126.8,1105.05,1116.4,1116.75,773906,864210175.3,1116.69,30035,318349,41.14
10-Oct-2017,1116.75,1124.4,1202.9,1120.1,1193,1184.65,3365543,3937467052.6,1169.94,79790,780270,23.18
11-Oct-2017,1184.65,1201,1244,1190,1222.9,1213.1,2717138,3320129923.65,1221.92,79162,452192,16.64
12-Oct-2017,1213.1,1234,1279.8,1223,1279.8,1268.65,2057518,2567969295.7,1248.09,50182,368373,17.9
13-Oct-2017,1268.65,1285,1288.65,1220,1234.65,1229.9,2507878,3133083920.8,1249.3,89810,1001898,39.95
16-Oct-2017,1229.9,1250,1275,1225.05,1237,1232.45,2410127,3006774513.4,1247.56,65799,672781,27.91
17-Oct-2017,1232.45,1234,1241.55,1210,1221.8,1220,793647,972475428.8,1225.32,24072,235848,29.72
18-Oct-2017,1220,1217.4,1225.45,1132.15,1161,1159.7,2368299,2777392021.1,1172.74,68146,627523,26.5
19-Oct-2017,1159.7,1165,1177.7,1162,1165.1,1167.4,340842,398521224.6,1169.23,12613,112701,33.07
23-Oct-2017,1167.4,1170,1175,1117.1,1127,1126.4,1135187,1282388104.25,1129.67,55038,412979,36.38
24-Oct-2017,1126.4,1127,1148.5,1085.5,1091.3,1092.9,1475872,1640070051.35,1111.25,59449,513375,34.78
25-Oct-2017,1092.9,1100,1160,1070.7,1155,1143.7,1641798,1829355327.9,1114.24,59498,515582,31.4
26-Oct-2017,1143.7,1160.5,1170,1132.55,1142.05,1143.1,868267,999824705.1,1151.52,26862,197046,22.69
27-Oct-2017,1143.1,1148.5,1153.4,1132.55,1138,1136.2,432640,493177956.75,1139.93,14877,118776,27.45
30-Oct-2017,1136.2,1144,1164.8,1144,1147.9,1147.9,502967,579847848.65,1152.85,16072,179290,35.65
31-Oct-2017,1147.9,1155,1155,1135,1139.95,1140.6,280071,320415582.5,1144.05,10796,78026,27.86
01-Nov-2017,1140.6,1146,1168,1135.05,1149.5,1151.8,625587,718178392.2,1148.01,20670,297449,47.55
02-Nov-2017,1151.8,1149,1159.8,1140.55,1148.75,1149.45,320292,368360109.35,1150.08,12140,103970,32.46
03-Nov-2017,1149.45,1151.9,1152.9,1122.4,1126.1,1129.15,281650,320499709.5,1137.94,11475,135328,48.05
06-Nov-2017,1129.15,1129,1140.4,1119,1127.5,1125.5,322646,363986420.4,1128.13,17650,132927,41.2
07-Nov-2017,1125.5,1129.95,1132.05,1095,1100,1100.2,507726,562705317.2,1108.29,19687,233435,45.98
08-Nov-2017,1100.2,1108.8,1133,1078,1105,1098.05,568189,631667600,1111.72,28534,218462,38.45
09-Nov-2017,1098.05,1106.95,1132,1106.1,1120,1122.2,429197,480409372.25,1119.32,23491,168534,39.27
10-Nov-2017,1122.2,1122,1170,1115,1166.8,1159.65,895299,1027260635.3,1147.39,30805,343334,38.35
13-Nov-2017,1159.65,1166,1179.95,1156.15,1160.3,1160.95,593853,694491197.8,1169.47,20933,225509,37.97
14-Nov-2017,1160.95,1162.9,1164,1118,1122.15,1122.15,546437,619027879.25,1132.84,29404,275870,50.49
15-Nov-2017,1122.15,1122.8,1122.8,1093.05,1098,1098.4,452771,499887993.4,1104.06,20514,203563,44.96
16-Nov-2017,1098.4,1103.2,1123,1103.2,1114,1112.6,320691,357214646.3,1113.89,17049,132578,41.34
17-Nov-2017,1112.6,1120.2,1131.8,1098.05,1108,1106.05,627174,695463961.45,1108.89,26075,320768,51.14
20-Nov-2017,1106.05,1110,1118.9,1103.35,1105.95,1106.15,189756,210452812.95,1109.07,10076,73862,38.92
21-Nov-2017,1106.15,1110.1,1124.8,1105.35,1109,1112.3,396018,441414321.85,1114.63,18917,177614,44.85
22-Nov-2017,1112.3,1115.1,1143.9,1115.1,1138.5,1137.8,630300,713769095.3,1132.43,23028,237641,37.7
23-Nov-2017,1137.8,1143.4,1156,1131,1146.3,1146.3,578321,662944195.5,1146.33,20798,201172,34.79
24-Nov-2017,1146.3,1152,1163,1145.1,1147,1149.9,500452,577737904.65,1154.43,14824,173737,34.72
27-Nov-2017,1149.9,1140.1,1149,1122.4,1129,1129.85,217757,247093438.55,1134.72,7940,84551,38.83
28-Nov-2017,1129.85,1133.8,1141.1,1115,1140,1128.25,248227,280477122.3,1129.92,11846,111907,45.08
29-Nov-2017,1128.25,1138,1147,1122.85,1124,1125.55,235348,266305338.95,1131.54,10956,94185,40.02
30-Nov-2017,1125.55,1124,1157.7,1110.85,1113,1118.1,482312,545388283.8,1130.78,16870,128850,26.72
01-Dec-2017,1118.1,1123.8,1139,1110,1116.05,1114.4,311788,351470871,1127.28,12308,116421,37.34
04-Dec-2017,1114.4,1119.8,1161,1093,1155,1150.7,865823,978685768.85,1130.35,25711,326953,37.76
05-Dec-2017,1150.7,1155.6,1160,1126.6,1131.2,1133.35,466932,532701401.5,1140.85,15233,146084,31.29
06-Dec-2017,1133.35,1129.7,1139,1111,1120,1123.95,325570,366147782.75,1124.64,10916,115758,35.56
07-Dec-2017,1123.95,1125,1178,1124.5,1146,1142.4,3369105,3841243611.75,1140.14,34203,2359457,70.03
08-Dec-2017,1142.4,1145.1,1162,1128,1130,1132.55,668356,763112903.8,1141.78,17717,302358,45.24
11-Dec-2017,1132.55,1138,1143.9,1121,1127,1127.4,353164,399294305.65,1130.62,14066,128802,36.47
12-Dec-2017,1127.4,1130.4,1130.8,1113.6,1114.85,1115.75,364243,408720329.65,1122.11,13050,199792,54.85
13-Dec-2017,1115.75,1115,1131.7,1103,1110,1108,385231,430429594.85,1117.33,17627,168580,43.76
14-Dec-2017,1108,1115,1118,1096.25,1104.5,1104.2,467433,515964708.8,1103.83,17832,212324,45.42
15-Dec-2017,1104.2,1114.95,1129.9,1102.35,1121.5,1121.8,484592,541034149,1116.47,15504,208116,42.95
18-Dec-2017,1121.8,1109,1139,1083,1137,1135.25,506810,570193401.2,1125.06,18699,171445,33.83
19-Dec-2017,1135.25,1137.05,1150,1125,1143.5,1146,376958,429483910.45,1139.34,11154,158066,41.93
20-Dec-2017,1146,1146,1158.6,1136.05,1143,1143,306343,351546789.05,1147.56,10971,109512,35.75
21-Dec-2017,1143,1140,1160,1140,1154,1155.6,430141,494937369.45,1150.64,18681,216561,50.35
22-Dec-2017,1155.6,1157.8,1171.5,1146.6,1150,1151.1,401234,464090689.45,1156.66,13722,146125,36.42
26-Dec-2017,1151.1,1150,1157,1144.25,1150,1150.15,231395,265936879.05,1149.28,16180,100824,43.57
27-Dec-2017,1150.15,1151,1169,1140.2,1143,1146.35,298298,344777493.35,1155.82,9797,92725,31.08
28-Dec-2017,1146.35,1147.35,1158,1142,1150.05,1148.35,208198,239359553.85,1149.67,10598,70508,33.87
29-Dec-2017,1148.35,1148,1194.45,1148,1178.5,1181.35,1033292,1216380184.95,1177.19,25883,409635,39.64
01-Jan-2018,1181.35,1188.3,1193.25,1166,1172.5,1170.5,334392,395155954.8,1181.71,9339,131250,39.25
02-Jan-2018,1170.5,1173.7,1178.2,1155.6,1160.7,1160,302709,352563146.95,1164.69,9423,98217,32.45
03-Jan-2018,1160,1162.7,1204.4,1160,1184,1184.55,580610,687971942.1,1184.91,18731,146459,25.23
04-Jan-2018,1184.55,1187.85,1215,1186,1199.5,1203.1,707905,852712982.5,1204.56,20998,192081,27.13
05-Jan-2018,1203.1,1210.1,1268,1208.55,1243,1243.4,1244328,1546206293.8,1242.6,39621,375646,30.19
08-Jan-2018,1243.4,1250,1259.95,1222,1225,1226.8,520902,645155417.95,1238.54,27178,213747,41.03
